split,person,num_samples,mean_score,min_score,max_score,good_count,bad_count
test,P12,19,3.137631578947369,2.18,4.375,2,17
test,P13,20,3.6447499999999997,2.425,4.84,4,16
test,P8,20,4.734999999999999,4.04,5.0,20,0
test,P9,20,4.60675,3.7,5.0,19,1
train,P0,17,4.5709823529411775,3.7,5.0,15,2
train,P10,35,3.32538,1.34,4.96,8,27
train,P14,35,3.675,2.02,4.92,12,23
train,P15,35,3.582522857142857,1.58,4.9,10,25
train,P2,18,4.835833333333333,4.6,5.0,18,0
train,P3,17,4.647017647058823,4.38,4.98,17,0
train,P4,19,4.639168421052632,4.1,5.0,19,0
train,P5,20,4.754,4.22,5.0,20,0
train,P7,20,4.748180000000001,4.38,5.0,20,0
valid,P1,20,4.8610000000000015,4.64,5.0,20,0
valid,P11,30,3.4326666666666665,2.28,4.76,6,24
valid,P6,19,4.608157894736843,3.82,4.96,18,1
