split,exercise,person,trial,score,performance
train,E0,P0,T0,4.3667,good
train,E0,P0,T1,4.26,good
train,E0,P0,T2,4.16,good
train,E0,P10,T0,3.8333,bad
train,E0,P10,T3,2.6,bad
train,E0,P10,T4,1.76,bad
train,E0,P10,T5,1.34,bad
train,E0,P10,T6,2.44,bad
train,E0,P14,T0,4.64,good
train,E0,P14,T3,3.88,bad
train,E0,P14,T4,2.36,bad
train,E0,P14,T5,2.1,bad
train,E0,P14,T6,2.94,bad
train,E0,P15,T0,3.7833,bad
train,E0,P15,T3,3.38,bad
train,E0,P15,T4,3.66,bad
train,E0,P15,T5,2.0,bad
train,E0,P15,T6,2.86,bad
train,E0,P2,T0,4.74,good
train,E0,P2,T1,4.74,good
train,E0,P2,T2,4.72,good
train,E0,P3,T0,4.44,good
train,E0,P3,T1,4.38,good
train,E0,P3,T2,4.42,good
train,E0,P4,T0,4.44,good
train,E0,P4,T1,4.4,good
train,E0,P4,T2,4.58,good
train,E0,P5,T0,4.3,good
train,E0,P5,T1,4.22,good
train,E0,P5,T2,4.22,good
train,E0,P7,T0,4.64,good
train,E0,P7,T1,4.54,good
train,E0,P7,T2,4.48,good
train,E1,P0,T0,4.32,good
train,E1,P0,T1,3.7,bad
train,E1,P0,T2,3.82,bad
train,E1,P10,T0,4.3667,good
train,E1,P10,T3,2.4333,bad
train,E1,P10,T4,2.925,bad
train,E1,P10,T5,2.92,bad
train,E1,P10,T6,3.04,bad
train,E1,P14,T0,4.92,good
train,E1,P14,T3,3.62,bad
train,E1,P14,T4,2.02,bad
train,E1,P14,T5,2.62,bad
train,E1,P14,T6,2.04,bad
train,E1,P15,T0,3.8,bad
train,E1,P15,T3,3.84,bad
train,E1,P15,T4,4.0,good
train,E1,P15,T5,3.1,bad
train,E1,P15,T6,3.44,bad
train,E1,P2,T0,5.0,good
train,E1,P2,T1,4.98,good
train,E1,P2,T2,4.76,good
train,E1,P3,T0,4.54,good
train,E1,P3,T1,4.46,good
train,E1,P3,T2,4.44,good
train,E1,P4,T0,4.74,good
train,E1,P4,T1,4.56,good
train,E1,P4,T2,4.2,good
train,E1,P5,T0,4.88,good
train,E1,P5,T1,4.84,good
train,E1,P5,T2,4.74,good
train,E1,P7,T0,4.52,good
train,E1,P7,T1,4.76,good
train,E1,P7,T2,4.7,good
train,E2,P10,T0,3.82,bad
train,E2,P10,T3,3.88,bad
train,E2,P10,T4,2.82,bad
train,E2,P10,T5,3.5,bad
train,E2,P10,T6,2.34,bad
train,E2,P14,T0,3.9,bad
train,E2,P14,T3,3.52,bad
train,E2,P14,T4,3.74,bad
train,E2,P14,T5,3.6,bad
train,E2,P14,T6,3.76,bad
train,E2,P15,T0,4.24,good
train,E2,P15,T3,3.76,bad
train,E2,P15,T4,3.5,bad
train,E2,P15,T5,3.5,bad
train,E2,P15,T6,3.18,bad
train,E2,P2,T0,4.96,good
train,E2,P2,T1,4.92,good
train,E2,P2,T2,4.88,good
train,E2,P3,T0,4.7,good
train,E2,P3,T1,4.7,good
train,E2,P3,T2,4.8,good
train,E2,P4,T0,4.52,good
train,E2,P4,T1,4.66,good
train,E2,P5,T0,4.92,good
train,E2,P5,T1,4.8,good
train,E2,P7,T0,4.96,good
train,E2,P7,T1,4.8,good
train,E4,P0,T0,4.46,good
train,E4,P0,T1,4.76,good
train,E4,P0,T2,4.74,good
train,E4,P10,T0,3.86,bad
train,E4,P10,T3,3.12,bad
train,E4,P10,T4,2.86,bad
train,E4,P10,T5,2.18,bad
train,E4,P10,T6,1.78,bad
train,E4,P14,T0,4.5,good
train,E4,P14,T3,3.32,bad
train,E4,P14,T4,3.22,bad
train,E4,P14,T5,4.08,good
train,E4,P14,T6,2.5,bad
train,E4,P15,T0,3.68,bad
train,E4,P15,T3,3.26,bad
train,E4,P15,T4,3.66,bad
train,E4,P15,T5,2.58,bad
train,E4,P15,T6,1.58,bad
train,E4,P2,T0,4.74,good
train,E4,P2,T1,4.82,good
train,E4,P2,T2,4.82,good
train,E4,P3,T0,4.54,good
train,E4,P3,T1,4.7143,good
train,E4,P3,T2,4.44,good
train,E4,P4,T0,4.72,good
train,E4,P4,T1,4.76,good
train,E4,P4,T2,4.84,good
train,E4,P5,T0,4.62,good
train,E4,P5,T1,4.68,good
train,E4,P5,T2,4.68,good
train,E4,P7,T0,4.4286,good
train,E4,P7,T1,4.48,good
train,E4,P7,T2,4.38,good
train,E5,P0,T0,4.66,good
train,E5,P0,T1,4.72,good
train,E5,P10,T0,4.225,good
train,E5,P10,T3,4.075,good
train,E5,P10,T4,3.275,bad
train,E5,P10,T5,3.525,bad
train,E5,P10,T6,2.95,bad
train,E5,P14,T0,4.8,good
train,E5,P14,T3,4.08,good
train,E5,P14,T4,3.775,bad
train,E5,P14,T5,3.9,bad
train,E5,P14,T6,4.3,good
train,E5,P15,T0,4.825,good
train,E5,P15,T3,4.36,good
train,E5,P15,T4,4.44,good
train,E5,P15,T5,4.4,good
train,E5,P15,T6,3.78,bad
train,E5,P2,T0,4.86,good
train,E5,P2,T1,4.6,good
train,E5,P2,T2,4.825,good
train,E5,P3,T0,4.8,good
train,E5,P3,T1,4.725,good
train,E5,P4,T0,4.275,good
train,E5,P4,T1,4.1,good
train,E5,P4,T2,4.7692,good
train,E5,P5,T0,4.9,good
train,E5,P5,T1,4.9,good
train,E5,P5,T2,4.9,good
train,E5,P7,T0,4.825,good
