split,exercise,person,trial,camera,score,performance
train,E0,P0,T0,C0,4.3667,good
train,E0,P0,T0,C1,4.3667,good
train,E0,P0,T0,C2,4.3667,good
train,E0,P0,T1,C0,4.26,good
train,E0,P0,T1,C1,4.26,good
train,E0,P0,T1,C2,4.26,good
train,E0,P0,T2,C0,4.16,good
train,E0,P0,T2,C1,4.16,good
train,E0,P0,T2,C2,4.16,good
train,E0,P10,T0,C0,3.8333,bad
train,E0,P10,T0,C1,3.8333,bad
train,E0,P10,T0,C2,3.8333,bad
train,E0,P10,T3,C0,2.6,bad
train,E0,P10,T3,C1,2.6,bad
train,E0,P10,T3,C2,2.6,bad
train,E0,P10,T4,C0,1.76,bad
train,E0,P10,T4,C1,1.76,bad
train,E0,P10,T4,C2,1.76,bad
train,E0,P10,T5,C0,1.34,bad
train,E0,P10,T5,C1,1.34,bad
train,E0,P10,T5,C2,1.34,bad
train,E0,P10,T6,C0,2.44,bad
train,E0,P10,T6,C1,2.44,bad
train,E0,P10,T6,C2,2.44,bad
train,E0,P14,T0,C0,4.64,good
train,E0,P14,T0,C1,4.64,good
train,E0,P14,T0,C2,4.64,good
train,E0,P14,T3,C0,3.88,bad
train,E0,P14,T3,C1,3.88,bad
train,E0,P14,T3,C2,3.88,bad
train,E0,P14,T4,C0,2.36,bad
train,E0,P14,T4,C1,2.36,bad
train,E0,P14,T4,C2,2.36,bad
train,E0,P14,T5,C0,2.1,bad
train,E0,P14,T5,C1,2.1,bad
train,E0,P14,T5,C2,2.1,bad
train,E0,P14,T6,C0,2.94,bad
train,E0,P14,T6,C1,2.94,bad
train,E0,P14,T6,C2,2.94,bad
train,E0,P15,T0,C0,3.7833,bad
train,E0,P15,T0,C1,3.7833,bad
train,E0,P15,T0,C2,3.7833,bad
train,E0,P15,T3,C0,3.38,bad
train,E0,P15,T3,C1,3.38,bad
train,E0,P15,T3,C2,3.38,bad
train,E0,P15,T4,C0,3.66,bad
train,E0,P15,T4,C1,3.66,bad
train,E0,P15,T4,C2,3.66,bad
train,E0,P15,T5,C0,2.0,bad
train,E0,P15,T5,C1,2.0,bad
train,E0,P15,T5,C2,2.0,bad
train,E0,P15,T6,C0,2.86,bad
train,E0,P15,T6,C1,2.86,bad
train,E0,P15,T6,C2,2.86,bad
train,E0,P2,T0,C0,4.74,good
train,E0,P2,T0,C1,4.74,good
train,E0,P2,T0,C2,4.74,good
train,E0,P2,T1,C0,4.74,good
train,E0,P2,T1,C1,4.74,good
train,E0,P2,T1,C2,4.74,good
train,E0,P2,T2,C0,4.72,good
train,E0,P2,T2,C1,4.72,good
train,E0,P2,T2,C2,4.72,good
train,E0,P3,T0,C0,4.44,good
train,E0,P3,T0,C1,4.44,good
train,E0,P3,T0,C2,4.44,good
train,E0,P3,T1,C0,4.38,good
train,E0,P3,T1,C1,4.38,good
train,E0,P3,T1,C2,4.38,good
train,E0,P3,T2,C0,4.42,good
train,E0,P3,T2,C1,4.42,good
train,E0,P3,T2,C2,4.42,good
train,E0,P4,T0,C0,4.44,good
train,E0,P4,T0,C1,4.44,good
train,E0,P4,T0,C2,4.44,good
train,E0,P4,T1,C0,4.4,good
train,E0,P4,T1,C1,4.4,good
train,E0,P4,T1,C2,4.4,good
train,E0,P4,T2,C0,4.58,good
train,E0,P4,T2,C1,4.58,good
train,E0,P4,T2,C2,4.58,good
train,E0,P5,T0,C0,4.3,good
train,E0,P5,T0,C1,4.3,good
train,E0,P5,T0,C2,4.3,good
train,E0,P5,T1,C0,4.22,good
train,E0,P5,T1,C1,4.22,good
train,E0,P5,T1,C2,4.22,good
train,E0,P5,T2,C0,4.22,good
train,E0,P5,T2,C1,4.22,good
train,E0,P5,T2,C2,4.22,good
train,E0,P7,T0,C0,4.64,good
train,E0,P7,T0,C1,4.64,good
train,E0,P7,T0,C2,4.64,good
train,E0,P7,T1,C0,4.54,good
train,E0,P7,T1,C1,4.54,good
train,E0,P7,T1,C2,4.54,good
train,E0,P7,T2,C0,4.48,good
train,E0,P7,T2,C1,4.48,good
