split,exercise,num_samples,mean_score,good_count,bad_count,augmented_count
test,E0,48,3.6318750000000004,18,30,0
test,E1,33,4.1863636363636365,21,12,0
test,E2,27,3.9977777777777783,15,12,0
test,E3,33,3.4953999999999996,9,24,0
test,E4,30,3.614,15,15,0
test,E5,33,4.268181818181816,24,9,0
test,E6,33,4.489090909090908,21,12,0
test,E7,33,4.121818181818184,24,9,0
test,E8,33,4.248636363636362,21,12,0
test,E9,18,4.383350000000001,18,0,0
train,E0,257,2.9851863813229653,57,200,158
train,E1,222,3.371184684684689,57,165,123
train,E2,169,3.7538461538461516,45,124,82
train,E3,205,3.265973658536584,72,133,106
train,E4,222,3.174633783783784,60,162,123
train,E5,145,4.060604137931027,75,70,52
train,E6,153,4.174379084967324,77,76,55
train,E7,172,3.5118604651162837,75,97,73
train,E8,175,3.7687428571428576,66,109,82
train,E9,209,3.551950717703351,59,150,111
valid,E0,31,3.5567741935483865,13,18,0
valid,E1,33,4.075000000000001,21,12,0
valid,E2,30,4.076,15,15,0
valid,E3,31,4.074193548387098,22,9,0
valid,E4,33,3.989090909090908,21,12,0
valid,E5,33,4.48090909090909,24,9,0
valid,E6,32,4.470625000000001,23,9,0
valid,E7,33,4.383636363636362,27,6,0
valid,E8,18,4.900000000000001,18,0,0
valid,E9,13,4.507707692307694,13,0,0
