exercise,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2,PCC
E0,48,3.6318749487400055,3.8723605225483575,0.4396169533332189,0.5358429411632861,0.5310978041583734,0.7974354815779039
E1,33,4.186363653703169,4.101390108917698,0.4262999115568219,0.5019964907365891,0.6368395803725377,0.835122055314644
E2,27,3.997777806388007,4.232857977902448,0.3975484989307545,0.5202257008241483,0.6024984161189519,0.8419721533114505
E3,33,3.4954000169580635,4.135263125101726,0.8692763863187848,0.9624189080867456,-0.9366189848327668,0.23264527693868783
E4,30,3.6140000581741334,4.217136716842651,0.6653959353764852,0.8322646222099825,-0.16609372084293472,0.6900068518249179
E5,33,4.268181822516701,4.198458873864376,0.40362879001733026,0.5300417828385897,0.11886084668999264,0.6087287792196754
E6,33,4.489090919494629,4.383744131435048,0.2517508521224513,0.37688134354675595,0.6755937369631794,0.8377174862945141
E7,33,4.121818174015392,4.328985770543416,0.6105734940731165,0.7241793581361103,-0.8175360500192217,0.26749812279989177
E8,33,4.248636440797285,4.402293552051891,0.3217389439091538,0.47655519270684976,0.656823757867218,0.8442473333234028
E9,18,4.383349895477295,4.580855422549778,0.22950177722507054,0.2890463408103639,-1.48526506217689,-0.24992077675935187
