split,person,num_samples,mean_score,min_score,max_score,good_count,bad_count
test,P12,72,3.1447916666666633,2.14,4.64,9,63
test,P13,75,3.6990000000000016,2.425,5.0,18,57
test,P8,87,4.603451724137935,3.94,5.0,84,3
test,P9,87,4.413255172413792,3.4,5.0,75,12
train,P0,84,4.505652380952379,3.7,5.0,75,9
train,P10,150,3.3122320000000007,1.34,4.96,36,114
train,P14,150,3.659431999999998,1.8,5.0,54,96
train,P15,150,3.6418659999999976,1.58,4.9,48,102
train,P2,87,4.733448275862069,4.375,5.0,87,0
train,P3,84,4.594322619047625,4.16,4.98,84,0
train,P4,85,4.572208235294117,4.1,5.0,85,0
train,P5,87,4.659768965517243,4.16,5.0,87,0
train,P7,87,4.657251724137927,4.24,5.0,87,0
valid,P1,84,4.798216666666664,4.45,5.0,84,0
valid,P11,120,3.5410000000000044,2.28,5.0,33,87
valid,P6,83,4.570783132530117,3.82,4.96,80,3
