split,person,num_samples,mean_score,min_score,max_score,good_count,bad_count,augmented_count
test,P12,24,3.1447916666666678,2.14,4.64,3,21,0
test,P13,25,3.6989999999999994,2.425,5.0,6,19,0
test,P8,29,4.603451724137932,3.94,5.0,28,1,0
test,P9,29,4.413255172413794,3.4,5.0,25,4,0
train,P0,65,4.352510769230768,3.7,5.0,46,19,39
train,P10,352,2.87833551136364,1.34,4.96,24,328,302
train,P14,277,3.163945848375452,1.8,5.0,36,241,227
train,P15,272,3.3167150735294104,1.58,4.9,32,240,222
train,P2,54,4.724074074074074,4.375,5.0,54,0,27
train,P3,52,4.571834615384615,4.16,4.98,52,0,26
train,P4,54,4.564662962962963,4.1,5.0,54,0,27
train,P5,58,4.659768965517243,4.16,5.0,58,0,29
train,P7,58,4.657251724137931,4.24,5.0,58,0,29
valid,P1,27,4.80345925925926,4.5667,5.0,27,0,0
valid,P11,40,3.5409999999999995,2.28,5.0,11,29,0
valid,P6,25,4.571000000000001,3.82,4.96,24,1,0
