split,exercise,num_samples,mean_score,good_count,bad_count
test,E0,16,3.6318750000000004,6,10
test,E1,11,4.1863636363636365,7,4
test,E2,9,3.9977777777777783,5,4
test,E3,11,3.4954000000000005,3,8
test,E4,10,3.6139999999999994,5,5
test,E5,11,4.2681818181818185,8,3
test,E6,11,4.489090909090908,7,4
test,E7,11,4.121818181818182,8,3
test,E8,11,4.248636363636363,7,4
test,E9,6,4.383349999999999,6,0
train,E0,33,3.7461606060606063,19,14
train,E1,33,3.9710606060606057,19,14
train,E2,27,4.0992592592592585,13,14
train,E3,33,4.014187878787878,24,9
train,E4,33,3.9334212121212118,20,13
train,E5,31,4.397393548387097,25,6
train,E6,32,4.5525,25,7
train,E7,33,4.075151515151515,25,8
train,E8,27,4.266296296296297,18,9
train,E9,32,4.000521874999999,19,13
valid,E0,10,3.518,4,6
valid,E1,11,4.075,7,4
valid,E2,10,4.076,5,5
valid,E3,10,4.05,7,3
valid,E4,11,3.989090909090909,7,4
valid,E5,11,4.480909090909092,8,3
valid,E6,10,4.441999999999999,7,3
valid,E7,11,4.383636363636364,9,2
valid,E8,6,4.8999999999999995,6,0
valid,E9,2,4.5667,2,0
