y_fit,sample_weight
4.3667,1.2216549
4.26,1.259
4.16,1.294
3.8333,1.408345
2.6,1.84
1.76,2.1339998
1.34,2.281
2.44,1.8959999
4.64,1.126
3.88,1.392
2.36,1.924
2.1,2.0149999
2.94,1.721
3.7833,1.425845
3.38,1.5669999
3.66,1.469
2.0,2.05
2.86,1.7490001
4.74,1.0910001
4.74,1.0910001
4.72,1.098
4.44,1.196
4.38,1.217
4.42,1.203
4.44,1.196
4.4,1.2099999
4.58,1.1470001
4.3,1.2449999
4.22,1.273
4.22,1.273
4.64,1.126
4.54,1.161
4.48,1.182
4.32,1.2379999
3.7,1.4549999
3.82,1.413
4.3667,1.2216549
2.4333,1.898345
2.925,1.7262499
2.92,1.7279999
3.04,1.686
4.92,1.028
3.62,1.483
2.02,2.043
2.62,1.833
2.04,2.036
3.8,1.4200001
3.84,1.406
4.0,1.35
3.1,1.665
3.44,1.546
5.0,1.0
4.98,1.007
4.76,1.0839999
4.54,1.161
4.46,1.189
4.44,1.196
4.74,1.0910001
4.56,1.154
4.2,1.2800001
4.88,1.0419999
4.84,1.056
4.74,1.0910001
4.52,1.168
4.76,1.0839999
4.7,1.105
3.82,1.413
3.88,1.392
2.82,1.763
3.5,1.525
2.34,1.931
3.9,1.385
3.52,1.518
3.74,1.441
3.6,1.49
3.76,1.434
4.24,1.266
3.76,1.434
3.5,1.525
3.5,1.525
3.18,1.637
4.96,1.0139999
4.92,1.028
4.88,1.0419999
4.7,1.105
4.7,1.105
4.8,1.0699999
4.52,1.168
4.66,1.1190001
4.92,1.028
4.8,1.0699999
4.96,1.0139999
4.8,1.0699999
4.44,1.196
4.4082,1.2071301
4.4,1.2099999
4.32,1.2379999
3.78,1.427
2.58,1.847
1.44,2.2459998
2.14,2.001
4.74,1.0910001
4.2,1.2800001
2.58,1.847
3.28,1.602
1.98,2.057
4.3,1.2449999
4.16,1.294
3.62,1.483
4.1,1.315
3.3,1.595
4.8,1.0699999
4.5,1.175
4.5,1.175
4.6,1.14
4.56,1.154
4.58,1.1470001
4.68,1.1120001
4.6,1.14
4.42,1.203
4.58,1.1470001
4.62,1.133
4.62,1.133
4.44,1.196
4.64,1.126
4.56,1.154
4.46,1.189
4.76,1.0839999
4.74,1.0910001
3.86,1.399
3.12,1.658
2.86,1.7490001
2.18,1.987
1.78,2.1269999
4.5,1.175
3.32,1.588
3.22,1.6229999
4.08,1.322
2.5,1.875
3.68,1.462
3.26,1.609
3.66,1.469
2.58,1.847
1.58,2.197
4.74,1.0910001
4.82,1.063
4.82,1.063
4.54,1.161
4.7143,1.0999949
4.44,1.196
4.72,1.098
4.76,1.0839999
4.84,1.056
4.62,1.133
4.68,1.1120001
4.68,1.1120001
4.4286,1.19999
4.48,1.182
4.38,1.217
4.66,1.1190001
4.72,1.098
4.225,1.27125
4.075,1.32375
3.275,1.60375
3.525,1.5162499
2.95,1.7175
4.8,1.0699999
4.08,1.322
3.775,1.4287499
3.9,1.385
4.3,1.2449999
4.825,1.0612501
4.36,1.224
4.44,1.196
4.4,1.2099999
3.78,1.427
4.86,1.0489999
4.6,1.14
4.825,1.0612501
4.8,1.0699999
4.725,1.09625
4.275,1.25375
4.1,1.315
4.7692,1.08078
4.9,1.035
4.9,1.035
4.9,1.035
4.825,1.0612501
4.85,1.0525
4.9,1.035
5.0,1.0
5.0,1.0
4.98,1.007
4.96,1.0139999
4.6,1.14
3.44,1.546
4.3,1.2449999
3.28,1.602
4.92,1.028
3.8,1.4200001
3.96,1.364
4.1,1.315
4.46,1.189
4.84,1.056
4.34,1.231
3.1,1.665
3.2,1.63
3.86,1.399
4.9,1.035
4.82,1.063
4.96,1.0139999
4.96,1.0139999
4.96,1.0139999
4.98,1.007
5.0,1.0
5.0,1.0
5.0,1.0
4.96,1.0139999
5.0,1.0
5.0,1.0
5.0,1.0
5.0,1.0
4.26,1.259
4.38,1.217
4.26,1.259
4.78,1.0769999
4.82,1.063
3.66,1.469
4.26,1.259
2.66,1.819
5.0,1.0
3.34,1.5810001
4.14,1.301
1.8,2.12
4.42,1.203
4.82,1.063
3.6,1.49
3.26,1.609
3.78,1.427
3.04,1.686
4.48,1.182
4.56,1.154
4.44,1.196
4.24,1.266
4.22,1.273
4.16,1.294
4.2,1.2800001
4.16,1.294
4.1,1.315
4.18,1.2870001
4.16,1.294
4.26,1.259
4.24,1.266
4.34,1.231
4.46,1.189
4.96,1.0139999
4.9,1.035
4.9,1.035
4.48,1.182
3.8,1.4200001
4.12,1.3080001
3.84,1.406
3.7,1.4549999
4.625,1.13125
3.5,1.525
3.45,1.5425
3.0,1.7
4.675,1.11375
4.9,1.035
4.1,1.315
2.88,1.7419999
2.98,1.707
2.58,1.847
4.9,1.035
4.84,1.056
4.84,1.056
4.8,1.0699999
4.82,1.063
4.9,1.035
4.9,1.035
4.9,1.035
4.9,1.035
3.975,1.35875
4.375,1.21875
4.5667,1.151655
3.7,1.4549999
2.8333,1.7583449
3.1,1.665
3.05,1.6825
2.1,2.0149999
4.3333,1.2333449
3.9333,1.373345
3.6333,1.4783449
3.0667,1.676655
3.9,1.385
4.5,1.175
4.425,1.20125
3.65,1.4725
2.775,1.77875
3.375,1.5687499
4.375,1.21875
4.475,1.18375
4.375,1.21875
4.375,1.21875
4.5667,1.151655
4.5667,1.151655
4.375,1.21875
4.5667,1.151655
4.5333,1.163345
4.5333,1.163345
4.5667,1.151655
4.475,1.18375
4.375,1.21875
4.5667,1.151655
