split,person,num_samples,mean_score,min_score,max_score,good_count,bad_count
test,P12,24,3.1447916666666678,2.14,4.64,3,21
test,P13,25,3.6989999999999994,2.425,5.0,6,19
test,P8,29,4.603451724137932,3.94,5.0,28,1
test,P9,29,4.413255172413794,3.4,5.0,25,4
train,P0,26,4.491215384615385,3.7,5.0,23,3
train,P10,50,3.312232,1.34,4.96,12,38
train,P14,50,3.6594319999999994,1.8,5.0,18,32
train,P15,50,3.641866,1.58,4.9,16,34
train,P2,27,4.724074074074074,4.375,5.0,27,0
train,P3,26,4.571834615384614,4.16,4.98,26,0
train,P4,27,4.564662962962963,4.1,5.0,27,0
train,P5,29,4.659768965517241,4.16,5.0,29,0
train,P7,29,4.657251724137931,4.24,5.0,29,0
valid,P1,27,4.80345925925926,4.5667,5.0,27,0
valid,P11,40,3.5409999999999995,2.28,5.0,11,29
valid,P6,25,4.571000000000001,3.82,4.96,24,1
