split,person,num_samples,mean_score,min_score,max_score,good_count,bad_count
test,P12,5,2.928,2.3,3.58,0,5
test,P13,5,3.3,2.84,3.92,0,5
test,P8,3,4.653333333333333,4.58,4.7,3,0
test,P9,3,4.336666666666667,4.1,4.75,3,0
train,P0,3,4.2622333333333335,4.16,4.3667,3,0
train,P10,5,2.39466,1.34,3.8333,0,5
train,P14,5,3.1839999999999997,2.1,4.64,1,4
train,P15,5,3.13666,2.0,3.7833,0,5
train,P2,3,4.733333333333333,4.72,4.74,3,0
train,P3,3,4.413333333333333,4.38,4.44,3,0
train,P4,3,4.473333333333334,4.4,4.58,3,0
train,P5,3,4.246666666666666,4.22,4.3,3,0
train,P7,3,4.553333333333334,4.48,4.64,3,0
valid,P1,2,4.66,4.64,4.68,2,0
valid,P11,5,2.708,2.28,3.56,0,5
valid,P6,3,4.1066666666666665,3.82,4.28,2,1
