split,person,num_samples,mean_score,min_score,max_score,good_count,bad_count
test,P12,5,3.172,2.14,4.64,1,4
test,P8,3,4.006666666666667,3.94,4.06,2,1
test,P9,3,3.5231333333333335,3.4,3.7,0,3
train,P0,3,4.416066666666667,4.4,4.44,3,0
train,P10,5,2.852,1.44,4.32,1,4
train,P14,5,3.3560000000000003,1.98,4.74,2,3
train,P15,5,3.896,3.3,4.3,3,2
train,P2,3,4.6000000000000005,4.5,4.8,3,0
train,P3,3,4.58,4.56,4.6,3,0
train,P4,3,4.566666666666666,4.42,4.68,3,0
train,P5,3,4.6066666666666665,4.58,4.62,3,0
train,P7,3,4.546666666666667,4.44,4.64,3,0
valid,P1,2,4.75,4.68,4.82,2,0
valid,P11,5,3.5479999999999996,2.88,4.56,2,3
valid,P6,3,4.42,4.34,4.5,3,0
