split,person,num_samples,mean_score,min_score,max_score,good_count,bad_count
test,P12,15,2.9280000000000004,2.3,3.58,0,15
test,P13,15,3.3000000000000003,2.84,3.92,0,15
test,P8,9,4.653333333333333,4.58,4.7,9,0
test,P9,9,4.336666666666667,4.1,4.75,9,0
train,P0,9,4.2622333333333335,4.16,4.3667,9,0
train,P10,15,2.3946600000000005,1.34,3.8333,0,15
train,P14,15,3.1839999999999993,2.1,4.64,3,12
train,P15,15,3.1366599999999996,2.0,3.7833,0,15
train,P2,9,4.733333333333333,4.72,4.74,9,0
train,P3,9,4.413333333333333,4.38,4.44,9,0
train,P4,9,4.473333333333333,4.4,4.58,9,0
train,P5,9,4.246666666666666,4.22,4.3,9,0
train,P7,9,4.553333333333334,4.48,4.64,9,0
valid,P1,6,4.66,4.64,4.68,6,0
valid,P11,15,2.708,2.28,3.56,0,15
valid,P6,9,4.106666666666666,3.82,4.28,6,3
